Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,numVariables,numConstraints,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance3XS100_3_20,3,100,20,3,VGS(MIP),35555,15192,3600,MT,YCR,NDI,YF,
Instance4XS100_3_20,3,100,20,4,VGS(MIP),35570,15328,3600,MT,YCR,NDI,YF,
Instance5XS100_3_20,3,100,20,5,VGS(MIP),35555,15108,3600,MT,YCR,NDI,YF,
Instance1XS100_4_20,4,100,20,1,VGS(MIP),43572,15374,3600,MT,YCR,NDI,YF,
Instance3XS100_4_20,4,100,20,3,VGS(MIP),43565,15322,3600,MT,YCR,NDI,YF,
Instance4XS100_4_20,4,100,20,4,VGS(MIP),43562,15282,3600,MT,YCR,NDI,YF,
Instance5XS100_4_20,4,100,20,5,VGS(MIP),43562,15126,3600,MT,YCR,NDI,YF,
Instance1XS200_2_20,2,200,20,1,VGS(MIP),83580,17650,3600,MT,YCR,NDI,YF,
Instance2XS200_2_20,2,200,20,2,VGS(MIP),83577,17680,3600,MT,YCR,NDI,YF,
Instance3XS200_2_20,2,200,20,3,VGS(MIP),83577,17822,3600,MT,YCR,NDI,YF,
Instance4XS200_2_20,2,200,20,4,VGS(MIP),83580,17963,3600,MT,YCR,NDI,YF,
Instance5XS200_2_20,2,200,20,5,VGS(MIP),83585,17875,3600,MT,YCR,NDI,YF,
Instance1XS200_3_20,3,200,20,1,VGS(MIP),131579,17835,3600,MT,YCR,NDI,YF,
Instance2XS200_3_20,3,200,20,2,VGS(MIP),131586,17946,3600,MT,YCR,NDI,YF,
